tourist_name,tourist_country,topic,reviews,visit_date,tourist_type,reviewed_place
2043PaulL,"Erskineville, Australia",Amazing Organisation and a stunning itinerary,"We had developed an outline plan for a self drive tour of Namibia and ending up in Cape Town. Wilmari turned that outline into a great, well organised trip with expert advice on how to tweak our basic  outline to take into account driving times and the amount to see and do in each location.  She gave us a great variety of lodges from the classic african Rondeval camps to quirky Safari Tent camps that were themed along the lines of a Mad Max film set.We hired a 4WD Toyota Fortuner from NT & S as well.  the vehicle was relatively new, well maintained and comfortable for four people, though when planning luggage, remember the extra spare wheel takes up space in the luggage area - I recommend no more than 1 x 70l soft duffel bag per perosn, along with a small 'carry on' back pack.Wilmari and the team's  capabilities really showed when 3 days into our trip South Africa shut its borders as part of the global Covid-19 (Coronavirus) outbreak.  rather than rush home we decided to replan our trip, staying in Namibia rather than continuing to Cape Town.  Wilmari replanned everything and rescheduled and reconfirmed our accommodation on the new schedule  within 2 days.Then, at very short notice Namibia closed its borders, with all inbound and outbound international flights suspended and the country put into lockdown with movement highly restricted.  At short notice we had to, once again cancel the accommodation for the second half of our trip and quickly get back to Windhoek and into accommodation where we could be happy for an indeterminate period of a few weeks until we were able to get home.  Once again Wilmari excelledand found us a great one bedroom apartment in a safe and pleasent area of windhoek, where we were quite happy to sit it out... we eventually ended up leaving on Lufthansa repatriation flights back to London via Germanyits the quality of the team that really stands out in these difficult situations - Wilmari and the team really stood out and demonstrated that they can handle pretty much anything in their stride.Highly recomended",5-Apr-20,Couples,Okaukuejo waterhole
239doug,"Stamford, Connecticut",African safari,Excellent trip. Well laid out and easy to follow. The self guided portion of the trip was the best. You really saw the real country and it's people.,11-Feb-16,Family,Okaukuejo waterhole
251duncanw,"Johannesburg, South Africa",What an Amazing Place,"Deadvlei/Sossusvlei is a wonderful place. please don't bring your car into the area unless you have a 4x4. There is a facility to park your car in a safe place and take a ride on a 4x4 to deadvlei , all wheel drive cars are at risk as well as they are not a 4x4. there were a number of vehicles stuck in the sand and the ranges had to get them unstuck. I'd highly recommend this place as its an experience never seen before. I don't know what it is but the red dunes and the bright blue sky. Its a photographic heaven. it is however a 20min walk to deadvlei and id recommend having water with you as the heat is just on another level.",5-Oct-18,Couples,Okaukuejo waterhole
251duncanw,"Johannesburg, South Africa","Great Experience, Pleassently Surprissed","What a Gem, this was one of the two places I wanted to see in the area and it didn't disappoint. I had a wonderful time. its not far outside of Luderitz, around 9km. Walking around this place, I was amazed how old some of these building were and they were still sort of standing. Obviously they are old and the sand has started taking over most of the building but some of them, I was amazed by the interior for something so old. There is an informative museum and a tour guide if you want to go on it as well.",5-Oct-18,Couples,Okaukuejo waterhole
288sandersl,"Amsterdam, The Netherlands",WOW!,"A hidden gem in Namibia. I notice not all tours go here and wonder why. Spitzkoppe is like Ayers Rock, but with more variety in shapes and views. And the best thing: you can camp right under the biggest rocks!! We did not even see our neighbors and went really back to basic. We had our own toilet but no shower. Tip: book an afternoon horse ride!",9-Nov-15,Couples,Okaukuejo waterhole
289musan,"Polokwane, South Africa",I loved it,It was my first time in a desert. I went to the highest pic. It's fun. One side is desert one side is the Atlantic Ocean. It a marvel. It's really a good place to visit,24-Oct-17,Couples,Epupa Falls
2abc,"Zurich, Switzerland",Take the tour,"We had a very nice and informative tour by our guide Griselda and learned a lot about the history of this area and the ""paintings""",11-Mar-14,Couples,Spitzkoppe
2abc,"Zurich, Switzerland",Trip to the past,"The old Kolmanskop Diamond Town is while worth a trip. Try to be here early, as they close promptly at 1pm. Take the tour and either walk around the slowly drowning in the sand town either before or after the guided tour. Learn about this historic place and the diamond harvesting a century ago.",21-Mar-16,Couples,Desert Explores
2abc,"Zurich, Switzerland",A long march through a lot of sand,"Make sure you know exactly where to head from the signpost where you park your 4WD vehicle, take water with you and keep on going all the way to the horizon between the two dunes till you get behind the dunes to the Deadvlei. Once there, for nothing in the world you would wanna miss this sight.",20-Nov-14,Couples,Namib Desert
2fromaus,"Sydney, Australia",Truly amazing at night,This is a absolute must see at night waterhole with an abundance of wild life.  Share a bottle of wine in the cool of the evening.,21-Dec-18,Couples,Okaukuejo waterhole
2suffolkandback,"London, UK",Good food good hospitality lovely horse ride,"The setting of the camp at the foot of the rocks is magical.  We stayed the night in a comfortable clean chalet with an outside shower where you can see the sky, and enjoyed great home made food. We had an adventure to the cave paintings riding horses who are allowed to roam free.  One night is not enough!",31-Jan-16,Friends,Dune 45
311guillermo,"Calgary, Canada","Namibia/South Africa, trip of a lifetime - Namibia Tours and Safaris, outstanding travel agency","We just came back from a self-drive trip to southern Africa in June-July. We visited the several places in the Caprivi Strip, Etosha NP, Damaraland, Skeleton Coast and Sossusvlei (Namibia), and Cape Town and Franschhoek Valley (South Africa). The trip was organized by Namibia Tours and Safaris (NT&S), with the help of Wilmari. They also provided the 4x4 vehicle. It will be very hard to find a way to describe how well organized the trip was. NT&S suggested a wonderful itinerary, provided invaluable information, responded all my requests quickly and in detail, supplied an excellent vehicle, selected outstanding accommodations, gave us very useful advise for the trip and finally provided all necessary support during our journey.  We visited places that are unique, for their beauty and the experiences they provide. We saw the Big Five (including both Black and White Rhinos) and a very large number of mammal, reptile and bids species, and were able to appreciate their behaviour in the wild. We enjoyed the wonderful landscapes of Etosha, Damaraland and Sossusvlei (Namib Desert), among others. And at the end of the trip, we had a fantastic relaxing time in Franschhoek and Cape Town. I can honestly say that Namibia is among the best places to visit in the world. I have used a number of travel agencies in my life and I cannot say I found one better than Namibia Tours and Safaris.",17-Jul-19,Couples,Daan Viljoen Nature Reserve
337Hans_M,"Cape Town Central, South Africa",Fantastic visit to a Ghost Town,Very friendly tourguide who pointed out the history and lifestyle of the years gone by. Interesting old buildings and well worth a visit.,7-Aug-19,Couples,Namutoni
376Daniel,"Stellenbosch, South Africa",Came here for the milk coffee.,"Great coffee, good menu, good service. Was a little disappointed with the Apple Crumble as it was not the same as it used to be, and the chairs are a little uncomfortable. But a great Namibian experience in a good and convenient location.",15-Jul-17,Couples,Dune 7
3Ms-from-F,"Frankfurt, Germany","Unique and eery, but a bit crowded","We visited Kolmanskop again after a 15 year break, and a lot had changed. While the place is still great, it is now very crowded.",9-Aug-17,Family,Okaukuejo waterhole
40000ftandbelow,"Johannesburg, South Africa",Amazing views...with a good work out,A really great and easily accessible place.The dune is deceivingly high...and 'climbing' up the dune...is not for the faint hearted...but well worth the 10-15 min cardiac workout ð,24-Jan-20,Couples,Okaukuejo waterhole
444Erica2014,"Strand, South Africa",Good but not the best,We love to watch the animals at the waterhole. It is a good way to spend time with your camera. Will recommend it.,19-Jul-18,Couples,Waterberg National Park
477Brian_C2013,"Newcastle, Australia",Namibia and Botswana safari,An excellent trip. Our driver/guide Augustine was exceptional. He was very knowledgable on the wildlife and birds. He stopped whenever we wanted to photograph even though this extended our travelling times considerably. The lodges booked for us were all good and the itinery although demanding was great. I have no hesitation in reccommending the company and the trip,25-Sep-13,Friends,Okaukuejo waterhole
477lyne,"Armidale, Australia",Nambibia...:-),"This tour was all i expected and more. NTS provided the expertise and safety, along with the reassurance of their experience and care it was an extensive and comprehensive tour with a guide that provided great conversation as well as many valuablebl insights into the places we stayed. The care for our comfort and safety could be better and is very much appreciated...i could not fault NTS in their preperation and execution of a trip of a lifetime.",23-Mar-17,Couples,Dune 45
4x4Medic,"George, South Africa",Namibian charm,Wow! This was great. Situated in an old brewery this market has  a lot to offer. We have spent more than an hour in here and did not even eat or drink something in the restaurant also situated inside. A definite place to visit with authentic African art and craft. Safe parking outside and very helpful stall owners. A really enjoyable afternoon. Thanks!,21-Feb-18,Couples,Namib Desert
51MES,"Bordeaux, France",Amazing,"Hard to understand how a salt pan exists next to the desert sands.So amazing to still see the life that thrives here in the birds, beetles and lizards.",21-Mar-20,Couples,Namib-Naukluft National Park
51MES,"Bordeaux, France",Calming and tranquil,Beautiful spot either on the benches or the covered seating.In 2 days saw so much.Binoculars as well as a camera (please no flash) a must.,22-Mar-20,Couples,Waterberg National Park
60stevea,"Salt Lake City, UT",Stunningly unique,"Sand dunes and dead trees can be found all around the world, but having both together in the same spot is somewhat rare. Deadvlei is the poster child for Namibian tourism, and rightly so. The uniqueness of the area, even for someone who lives in a desert environment, makes it a mandatory stop on any visit to the country. If you don't have a 4x4, or have no experience driving a vehicle in sand using 4x4, then take the shuttle. The last few km to the Deadvlei parking area can be a bit rough. I came across 4 people in 2 vehicles who got stuck. The problem they had was that their rental vehicles, while 4x4, were small car based suvs, with little ground clearance. The key to making it safely to Deadvlei is having ground clearance as some of the tire ruts can be fairly deep, which will immediately get a small suv high centered. I woke and intended to drive out for sunrise, but there were literally hundreds of other vehicles doing the same thing. Instead, we went later in the afternoon and stayed for sunset. Absolutely perfect with NO other people there and still excellent lighting for pictures. Make sure to bring lots of water along.",3-Aug-17,Couples,Daan Viljoen Nature Reserve
60stevea,"Salt Lake City, UT",Not your typical ghost town,"What sets this place apart from any other ghost town I have visited is both the use of extremely solid architecture & the fact that it is slowly fading away into the sand. We arrived when the gates opened at 8:00am and had the place to ourselves for over an hour before everyone started driving in for the first tour at 9:30am. You can literally walk/crawl through all the buildings. Each room looks different with the amount of sand and the amount of light. I wouldn't say it is spooky, but post apocalyptic would probably be fitting. The tours they offer are really good and very insightful. Absolutely worth the stop if you happen to be in Luderitz.",28-Jun-17,Couples,Epupa Falls
60stevea,"Salt Lake City, UT",Real history,"The rock art here is exceptional. Each figure really stands out & it is obvious as to what animal it is. Our guide was very informative, which made the experience more rewarding. I was surprised that there were only a small number of rock panels with art, especially considering how many great rocks there are in the area. Still amazing to think that these were done so long ago.",29-Jun-17,Couples,Namib Desert
625pern,"Basel, Switzerland",Great Namibia experince,"We did a 19-day self-drive tour, organized by Namibia Tours & Safaris. Covered many of the attractions, including Kalahari, Fish River Canyon, Namib Desert, Luederitz, Swakopmund, Skeleton Coast, Damaraland, Kaokoland, Epupa Falls, Etosha, Waterberg Plateau. All arrangements worked 100% and lodges/hotels booked were generally fine to excellent. Long drives on bumpy roads in this big country, but vehicle provided was well-maintained and worked fine. All services provided by NTS were very competent and friendly. Can be recommended without reservations.",30-Nov-17,Couples,Waterberg National Park
635michalk,"Milan, Italy",20 days in Namibia,"Our â20 day ultimate Namibia self-drive safariâ was planned and prepared very well by Wilmari Pronk of NT&S. We had very friendly and efficient contact with Wilmari at the tour preparation stage. The description of our final itinerary and booked accommodation was very comprehensive and helpful. We enjoyed wide variety of landscapes and nature on our route: each stage had something different to offer. The driving (mostly on gravel roads providing âAfrican massageâ) and relaxing times were well balanced. Accommodation was well selected and clean, with friendly and helpful staff and quality ranging from âcomfortableâ to âluxuriousâ. The choice (made by NT&S for us) of the sturdy 4x4 vehicle has proven to be correct â we would feel unsafe in a normal car on various stretches of our route.  Thank you, Wilmari, for our great time in Namibia!",19-Nov-17,Couples,Okaukuejo waterhole
65raffaellalv,"Milan, Italy",Namibia Tour,"I Wish to recommande Sense of Africa to anybody wants to live a perfect tour, a no-problem holiday around Namibia. A special thanks to our guide Marc Davis Who made our trip unforgettable .",17-Jul-24,Couples,Daan Viljoen Nature Reserve
683laimak,Oslo,Great experience driving in dunes,"We have had a tour with Johan and it exceeded out expectations. Very punctual on a meeting time and we like it. Good instructions and driving, communication and support all the way. Easy going and with good taste of humour, shared different stories and we laughted a lot. Very fun and exciting day for a our family travelling with 10 year old boy, we learned a lot and got a great memory to take back with us. Recommend for sure if you stay in Swakopmund area!",24-Mar-24,Family,Okaukuejo waterhole
702danilof,"Sao Paulo, SP",Was amazing,"Everything was perfect, Jennifer Timlin helped a lot in the preparation of the script, giving many tips where it was possible to choose a route that would serve me. There are no words to describe Namibia, the country is amazing with unique beauties. Certainly one of the most incredible trips I have ever done.All Namibia Tours & Safari staff were helpful and helped to promote this amazing experience.",20-Jun-17,Couples,Okaukuejo waterhole
705judyp,Haga Haga,Definitely worth a visit!,"Well worth to pay the cost to have a tour guide take you through Kolsmanskop - very informative!  Then go off and explore on your own! Great that efforts are being taken to preserve this ""ghost"" town.",16-Jan-17,Family,Namutoni
725bobf,"Durban, South Africa",Namibian Tour,The whole trip was well organised from arrival till departure and all we had to do was drive from lodge to lodge on the specified dates.The accommodation was good value but some of the lodges organised outings were a little expensive and always an extra charge.Driving on the gravel roads was harder than we thought and the times between destinations was sometimes longer than planned so little time for site seeing along the route.Impressed with the friendliness and helpfulness of all the lodge staff in each location.Would definitely do it again and highly recommend Namibian Tours for their professional work.,24-Jun-17,Couples,Daan Viljoen Nature Reserve
730evelynp,"Kenilworth, South Africa",Great waterhole,We just popped past on our way into the park and saw a lot of game! Definitely worth a walk and taking a seat for a while watching the game wondering up.,19-Nov-19,Friends,Etosha_Pan
773ruchit,"Tonbridge, UK",Incredible hike,Tall sand dune - incredible views once you get up there. Be prepared for flying sand. Best to go just before sunset or early in the morning when sand is not burning,22-Mar-17,Friends,Onguma Bush Camp
80marty2016,"Naples, FL",What an experience,"The tallest sand dune in one of the, if not the, oldest deserts.  Standing there just takes your breath away, not to mention the interesting drive out to the Dune.  At the base are ATV rentals for the adventerous.  Defintely out of the ordinary.",10-Feb-19,Couples,Onguma Bush Camp
819melissan,"Cape Town, South Africa",Interesting,"Beautiful walk around the Ghost Town, learnt loads about the history even though we don't do a tour. Spent many hours looking around. The hospital is a must!",6-Jun-16,Couples,Heroes Acre
85cann,"Atlanta, GA","South Africa, Botswana, Zambia and Zimbabwe - Unforgettable!","This was a fantastic trip that was full of countless memorable experiences and the person who made this 20 day trip so special was Philip.  He is an incredible guide with knowledge, experience and the unique ability to relate to everyone he meets, usually with humor. We toured Namibia with him before and decided to ""expand our horizons"" this trip. He met us in Johannesburg and from there we continued on through Botswana, Zimbabwe and Zambia exploring many national parks, rivers, the Okavango Delta, towns, markets and even a few neat coffee shops.  I cannot forget to mention the visit to the iconic Victoria Falls. It is awesome!  Philip took us wherever we wanted to go. We were so fortunate to see endless expanses of the beautiful spring African countryside both on tarred roads and off road. I must also add that Philip is a superb driver!  As for seeing animals, there were SO many...especially the elephants.  We had the luxury of sitting in the car for long periods of time watching LOTS of them graze, take mud bathes, and enjoy the Chobe River.  So very special!  In addition to them, we saw countless hippos, cape buffalo, zebras, giraffes, fish eagles, and more. Numerous photographic opportunities! Our lodging was just as special. Philip had organized a great variety of accommodations over the 20 days, from a luxury safari tent outside of Johanessburg, to a camp in Hwange Park Zimbabwe, to a cool hut in the Chobe Safari Lodge, to bush tents in Zambia where we heard a lion roar, Every day was always a new adventure. I could go on and on about all of the wonderful things we did and saw over almost 3 weeks in Africa, but I will stop now. My experience over 2 extended  trips with Philip has truly been unforgettable.  He is the best.  Regardless of the tour you choose, Wild Wind Safaris will take good care of you and do their very best to accommodate your wishes.  Philip, I wish you and Wild Wind Safaris every success. Thank you for everything!",28-Nov-17,Friends,Okaukuejo waterhole
85dylanl,"Serfaus, Austria",Big fun in the Dunes,It is an easy trip to Dune 7 from WalvisBay. It was not busy and we were races up some dunes by quads. Afterwards we could race down the dunes on our bellies on boards. Only if you are a very experienced snowboarder you can attempt to snowboard down those dunes. Big fun that could have lasted longer if it was up to us. Wow!,22-Aug-16,Family,Daan Viljoen Nature Reserve
880Paddy,"London, UK",A World Heritage site,"Some of the best San rock engravings and art that we have seen. Bring your climbing legs and boots with you as there is a moderate climb to reach the dispersed art. There is also a small but informative ""museum"" which one passes through to visit the site. Well worth a visit.",19-May-13,Couples,Namib Desert
891Karen891,"Chicago, IL",12 perfect days,"We enlisted Ulrike's help, who organized a three-part trip [safari, desert, and Vic Falls]...100% by email [my preference, as we are based in US].  She picked interesting hotels, arranged the complicated logistics [car service, planes, activities] for us - and everything went very smoothly.  We had an amazing time - and could not have possibly done it without her help and expertise.",12-Apr-17,Couples,Namutoni
94roshan,"New York City, New York",Excellent experience with Namibia Tours Safaris,"My wife and I went to Namibia for an 11 day trip with Namibia Tours Safaris - visiting Sossusvlei, Walvis Bay, Damara Land, and Etosha National Park. From start to finish, NTS was very professional and extraordinarily helpful.Before the tripOur travel consultant, Tanya, was very responsive and helpful in providing suggested itineraries, organizing hotels, and tailoring the itinerary to our needs. She was very responsive to email. Most impressively, she organized and booked our trip on 2-3 weeks notice.Pick-upAirport pickup in Windhoek was easy. The next morning we met Estelle, who walked us through the itinerary and maps. She was instrumental in helping us decide which activities we might want to pursue in each location and which activities we were better off skipping. Wayne the fleet manager gave us a very thorough briefing of the vehicle and how to use the 4x4. He also gave us the valuable advice of reducing tire pressure on gravel/dirt roads and increasing it for the paved roads. Saved us getting a flat.VehicleWe had a Nissan Hardbody double cab 4x4. It was immaculate. Very clean, very well maintained. No problems whatsoever. This was our biggest concern, as we weren't sure how the vehicles would be in Namibia, but this was perfect. We met other tourists who had problems with poorly maintained rental vehicles from other rental companies. We're happy to say that we had no issues. While we didn't do any serious offroading, a 4x4 was essential. A smaller car with lower clearance would have presented problems on a lot of the roads, especially around Sossusvlei and in Damaraland. Also, I can't imagine doing this drive in an automatic. A car with manual transmission isnecessary.LodgingAll the hotels that NTS booked for us were fantastic. Our favorites were Camp Kipwe in Damaraland and Okonjima Bush Camp south of Etosha. A bit of advice for fellow travelers: wifi can be scarce in rural Namibia, even at luxury properties, so try not to depend on it.Overall a very professional outfit and very focused on making sure their customers have a good experience. Staff is on call 24hrs a day in case you run into any issues on the road. Namibia itself is an amazing country that is best experienced with your own car.",20-Dec-16,Couples,Onguma Bush Camp
959dscott,"Tintern, United Kingdom",Canyons and Deserts of Namibia,"A fabulous tour where you get to see some amazing places. Well done Chico for making the trip as enjoyable as possible. Great lodges, though on 2 occasions they suggested we had not paid when we had - an admin issue. Lodges please note and get your act together!  Large distances involved necessitates long hours in a bus, but this has to be accepted as its the tour you chose. Such a range of landscapes and terrain - Namibia is so diverse. Thoroughly recommended.",17-Jul-24,Couples,Okaukuejo waterhole
960gerhardp,"Vancouver, Canada",Mind boggling!,History is important. Kolmanskop is an integral part of Namibia's past. Don't pass it by. The Corporate dominance viz-a-viz the trapped upon public is underscored.,13-Dec-19,Couples,Okaukuejo waterhole
99Luftballons,London,Interesting,"We heard rather underwhelming reports about Kolmanskoppe but were pleasantly surprised. Just seeing the old bowling alley, the gym/hall, the deserted swimming pool and the accountant's house was worth it. Amazing that these structures still exist. We spent a short time looking at the way people tried to smuggle the diamonds although this part could be done better. And yes, you can take your postcard photos.",12-Oct-16,Family,Etosha_Pan
A N,"Ann Arbor, MI","Fascinating place, worth the visit","An old town built during the diamond rush in the early 1900âs, has survived and been overrun by the elements - basically sand.   Really fascinating to walk thru the buildings with a guide and see how people lived.  There is a bowling alley, a gymnastics room, houses, apartments etc.  very easy to understand the way of life and fascinting to hear the stories told by the guides.",30-Dec-18,Family,Dune 45
A Rajan P,"Lusaka, Zambia",Tallest of sand dunes in Namibia,Dune 7 is quite an experience! Hatahangu Sandboarding (does not appear in trip advisor) and their guide Arnold were very friendly and helpful. We did sandboarding here and the whole family just enjoyed the once in a lifetime experience,15-Feb-18,Family,Epupa Falls
AAleR,"Saint John, Canada",Go early,Good place to visit early in the morning. Buy the photographer ticket and try and be there at sunrise. The tour is insightful as well. Well worth a 4-5 hour visit.,9-Oct-19,Family,Epupa Falls
Aardvark_adventurer,"Bournemouth, UK",One of the highlights of our trip to Namibia,If you visit Kolmanskop be sure to do the tour with the guide which is included in the entrance price.  The guide is very knowledgeable and really makes the ghost town come alive with his descriptive narratives.   A very interesting and enthralling place to visit.,7-Dec-14,Couples,Okaukuejo waterhole
Aardvark_adventurer,"Bournemouth, UK",A spectacular sight,"Access to this place is a little difficult - a walk of over a kilometre over sand and clay terrain from the nearest parking place.  We went just before sundown and had the place to ourselves.  We were glad we went - it's a place which we'll remember for a long time - created by a quirk of nature, the trees here add a ghostly feeling to the place.  We left as the night was falling - a wonderful experience.  Don't miss this!",8-Dec-14,Couples,Dune 45
abbie20,berkshire,wonderful to see,"There is plenty of rock art to see and Feb is v. hot, wear a hat and comfy shoes for a little climbing..",30-Jun-16,Couples,Okaukuejo waterhole
abecnel,"Washington DC, DC",Really interesting insight into the native nomads early history,"We arrived past 4:30 and were dismayed to discover that the last guided tour had already left (you're required to go with a guide, to protect the ancient engravings). We returned earlier the next afternoon and were treated to a guided walk all by ourselves out to the engravings. We really learned a lot from the knowledgeable guide, even a bit of the Xhosa language. I'd highly recommend a visit to Twyfelfontein while you're in Damaraland.",10-Apr-16,Couples,Dune 45
